iter	Passed	Remaining
0	54	5417
1	56	2751
2	57	1858
3	58	1415
4	60	1150
5	63	997
6	65	869
7	66	767
8	68	689
9	69	626
10	71	575
11	72	532
12	74	495
13	76	467
14	77	436
15	78	411
16	79	389
17	81	370
18	82	350
19	83	335
20	85	319
21	86	305
22	88	297
23	90	287
24	92	276
25	93	265
26	94	255
27	96	247
28	97	239
29	99	231
30	100	224
31	102	217
32	103	211
33	105	204
34	106	198
35	108	192
36	109	187
37	111	181
38	112	176
39	114	171
40	116	167
41	118	163
42	120	159
43	122	156
44	124	151
45	125	147
46	128	144
47	131	142
48	132	138
49	134	134
50	136	130
51	137	126
52	138	122
53	139	119
54	141	116
55	143	112
56	145	109
57	146	106
58	147	102
59	149	99
60	149	95
61	151	92
62	152	89
63	154	86
64	156	84
65	157	81
66	159	78
67	161	76
68	163	73
69	165	70
70	166	68
71	169	65
72	171	63
73	173	61
74	176	58
75	177	56
76	179	53
77	181	51
78	183	48
79	184	46
80	186	43
81	187	41
82	188	38
83	190	36
84	191	33
85	193	31
86	195	29
87	196	26
88	198	24
89	199	22
90	201	19
91	202	17
92	203	15
93	205	13
94	206	10
95	207	8
96	209	6
97	210	4
98	212	2
99	213	0
